,date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,High,Low,Open,Close,Volume,Adj Close
0,2016-01-04,-1.59,-0.73,0.53,0.35,0.42,0.0,-0.336954191985771,32.58000183105469,32.040000915527344,32.290000915527344,32.369998931884766,8951900.0,31.691171646118164
1,2016-01-05,0.12,-0.25,0.01,0.03,0.35,0.0,-0.322184625246708,33.439998626708984,32.5,32.97999954223633,32.88999938964844,12256800.0,32.20025634765625
2,2016-01-06,-1.35,-0.21,-0.01,0.15,0.04,0.0,-0.308062368324326,32.5,31.15999984741211,32.349998474121094,31.530000686645508,11233600.0,30.8687801361084
3,2016-01-07,-2.44,-0.27,0.08,0.48,0.43,0.0,-0.294585731218786,30.950000762939453,29.8799991607666,30.739999771118164,30.280000686645508,16132600.0,29.644996643066406
4,2016-01-08,-1.11,-0.52,-0.03,0.21,0.04,0.0,-0.28175310119109,30.700000762939453,29.56999969482422,30.670000076293945,29.6299991607666,9961800.0,29.00862693786621
5,2016-01-11,-0.06,-0.62,0.34,0.65,0.43,0.0,-0.247350184939481,29.889999389648438,29.149999618530273,29.65999984741211,29.68000030517578,10234300.0,29.05758285522461
6,2016-01-12,0.71,-0.45,-0.78,-0.03,-0.31,0.0,-0.237465173547548,30.6200008392334,29.969999313354492,30.209999084472656,30.18000030517578,11733900.0,29.547094345092773
7,2016-01-13,-2.67,-0.56,0.78,0.37,0.68,0.0,-0.228357579461,30.610000610351562,29.229999542236328,30.40999984741211,29.260000228881836,12041800.0,28.646387100219727
8,2016-01-14,1.65,-0.08,-0.4,-0.62,-0.47,0.0,-0.220026312780922,29.0,27.81999969482422,28.65999984741211,28.670000076293945,15005900.0,28.06875991821289
9,2016-01-15,-2.14,0.41,-0.21,0.32,0.33,0.0,-0.212470376510912,27.850000381469727,26.639999389648438,27.520000457763672,27.110000610351562,21036300.0,26.541479110717773
10,2016-01-19,-0.2,-1.38,-0.07,0.3,0.26,0.0,-0.191040417070522,28.450000762939453,27.219999313354492,27.670000076293945,27.329999923706055,11428500.0,26.756858825683594
11,2016-01-20,-0.94,1.68,-1.24,0.18,-0.55,0.0,-0.189146914043222,27.829999923706055,26.450000762939453,26.809999465942383,27.479999542236328,12029500.0,26.903717041015625
12,2016-01-21,0.45,-0.46,0.01,0.47,0.6,0.0,-0.188870893659867,28.229999542236328,27.209999084472656,27.780000686645508,27.799999237060547,12036400.0,27.217002868652344
13,2016-01-22,2.08,0.13,-0.19,-0.46,-0.76,0.0,-0.190212322889303,28.639999389648438,28.270000457763672,28.329999923706055,28.450000762939453,6449900.0,27.853378295898438
14,2016-01-25,-1.71,-0.51,-0.99,0.3,-0.01,0.0,-0.203203691946309,28.770000457763672,28.360000610351562,28.440000534057617,28.420000076293945,6768200.0,27.824003219604492
15,2016-01-26,1.52,0.58,1.22,0.58,0.72,0.0,-0.209257582630559,28.81999969482422,28.190000534057617,28.479999542236328,28.700000762939453,5698600.0,28.098133087158203
16,2016-01-27,-1.11,-0.37,1.71,-0.24,1.06,0.0,-0.215910762393321,28.75,27.81999969482422,28.65999984741211,28.360000610351562,5792500.0,27.765260696411133
17,2016-01-28,0.49,-0.58,1.26,-0.25,-0.5,0.0,-0.223164027415599,28.690000534057617,27.5,28.59000015258789,28.049999237060547,6919400.0,27.461759567260742
18,2016-01-29,2.57,0.58,0.37,0.0,0.45,0.0,-0.231018245690149,29.350000381469727,28.18000030517578,28.290000915527344,29.290000915527344,7762600.0,28.675756454467773
19,2016-02-01,-0.04,-0.32,-0.95,0.08,-0.41,0.001,-0.258476790047189,29.450000762939453,29.010000228881836,29.260000228881836,29.299999237060547,7247100.0,28.685544967651367
20,2016-02-02,-2.0,-0.13,-0.35,0.29,0.4,0.001,-0.269056103966711,29.149999618530273,27.860000610351562,29.0,28.059999465942383,8547700.0,27.471553802490234
21,2016-02-03,0.46,-0.21,0.45,0.42,0.37,0.001,-0.279983819219002,28.450000762939453,27.549999237060547,28.280000686645508,28.200000762939453,8169300.0,27.60861587524414
22,2016-02-04,0.27,0.37,0.33,0.2,0.1,0.001,-0.291261243515507,28.850000381469727,27.93000030517578,28.239999771118164,28.209999084472656,8703500.0,27.618404388427734
23,2016-02-05,-2.06,-0.72,1.75,1.07,1.44,0.001,-0.302889726417087,28.329999923706055,26.350000381469727,28.020000457763672,26.43000030517578,15010700.0,25.875734329223633
24,2016-02-08,-1.51,0.11,0.89,1.63,0.97,0.001,-0.339296259067746,26.15999984741211,24.850000381469727,26.030000686645508,25.219999313354492,15221300.0,24.69110870361328
25,2016-02-09,-0.1,-0.56,-0.28,-0.06,0.03,0.001,-0.351324339666832,26.549999237060547,24.799999237060547,24.920000076293945,25.489999771118164,10634300.0,24.955446243286133
26,2016-02-10,0.01,-0.22,-0.55,-0.28,-0.79,0.001,-0.363291157688637,26.389999389648438,25.290000915527344,25.649999618530273,25.43000030517578,8395000.0,24.896703720092773
27,2016-02-11,-1.17,0.28,-1.48,0.32,-0.4,0.001,-0.375198145193248,25.559999465942383,24.780000686645508,24.780000686645508,25.299999237060547,8503600.0,24.769432067871094
28,2016-02-12,1.98,-0.28,1.14,-0.39,0.3,0.001,-0.387046727080881,25.780000686645508,24.75,25.700000762939453,25.729999542236328,8520400.0,25.190412521362305
29,2016-02-16,1.78,0.54,-0.56,0.03,-0.27,0.001,-0.433186011458007,27.030000686645508,26.020000457763672,26.100000381469727,26.989999771118164,12133800.0,26.423992156982422
30,2016-02-17,1.75,-0.15,-0.64,-0.38,-0.48,0.001,-0.443904806751053,27.920000076293945,27.219999313354492,27.329999923706055,27.65999984741211,19286700.0,27.079938888549805
